price,bedrooms,surface,floors
274.0,3,1830,2
500.0,4,2120,1
320.0,3,1260,1
445.5,3,1880,1
637.5,3,1680,1
460.0,2,2730,1
950.0,3,2780,1
550.0,3,1930,2
265.5,3,1860,1
162.0,4,1460,1
2395.0,4,3800,2
385.0,3,1070,1
230.0,3,1010,1
412.0,4,3360,2
177.5,3,1220,1
330.0,4,2000,1
139.5,2,1230,2
300.0,5,2000,2
499.9,3,2100,2
275.9,3,1380,1
1289.0,4,3100,2
610.0,3,2260,1
720.0,3,2180,1
637.0,4,2900,2
375.0,1,720,1
329.95,3,2070,1
465.0,3,1590,2
416.0,3,1110,1
480.0,6,3028,2
185.0,2,670,1
605.0,5,3040,2
435.0,4,2030,2
199.1,3,860,1
279.95,5,2150,1
230.0,2,950,1
385.0,3,1710,1
406.43,3,1380,1
363.75,3,1726,2
316.0,3,1900,2
649.95,6,1900,1
740.0,5,3990,2
289.95,3,1090,1
287.0,4,2240,2
492.45,3,1540,1
245.0,4,2140,2
399.95,3,1860,2
385.0,5,2190,1
3200.0,4,7000,1
779.95,4,2990,2
605.0,4,2620,2
789.5,4,3010,2
495.0,4,3390,2
300.0,3,1760,2
730.0,5,2870,2
264.95,2,1000,1
359.0,2,1370,2
539.95,4,2910,1
280.0,3,1700,1
775.0,2,2680,1
295.0,4,1810,1
195.0,3,1200,1
930.0,4,2200,2
1511.25,3,4010,1
785.0,4,2990,2
411.8,4,2190,1
519.0,4,3250,2
601.15,2,1660,1
750.0,3,2460,1
895.9,4,3640,2
284.0,3,1560,1
572.0,3,2360,1
226.5,3,1560,1
295.0,2,840,1
673.0,4,2590,2
570.0,2,1500,1
860.0,3,1880,1
930.0,3,3100,1
469.5,4,2090,1
730.0,3,2160,1
350.0,4,2610,2
802.5,4,3320,2
535.0,3,2740,2
379.9,4,1500,1
500.0,2,2070,2
536.751,3,1930,1
1180.0,5,3270,2
230.0,3,1260,1
950.0,5,3450,2
835.0,3,2960,2
275.0,3,1900,1
545.0,2,2930,1
336.75,4,1720,1
300.0,4,1660,2
1450.0,3,3940,1
600.0,3,2320,2
717.0,4,2540,2
475.0,4,1800,1
259.95,2,1070,2
450.0,3,1640,1
273.0,4,1990,2
565.0,3,1880,1
390.0,4,1900,1
445.0,3,1260,1
360.0,3,1480,2
452.0,3,1530,2
610.0,4,2910,2
390.0,2,1150,1
265.0,4,1580,2
675.0,3,2320,1
459.5,4,2060,1
234.3,3,1140,1
554.0,3,1760,1
359.95,5,2844,2
600.0,4,2520,1
255.0,3,1320,2
1079.0,4,4800,2
605.0,5,3060,2
1419.0,5,4020,2
275.0,5,1820,1
335.0,4,1900,2
191.0,2,700,1
355.0,4,1890,2
768.0,3,2660,2
612.5,4,2060,1
605.0,2,860,1
450.0,3,1350,1
465.0,3,1730,1
349.95,3,1060,1
1140.0,4,3080,1
789.5,4,3240,2
145.0,3,1010,1
575.0,4,2120,2
640.0,3,2370,2
379.0,3,1580,2
760.0,4,2730,2
280.0,4,1600,2
850.0,3,3000,1
509.95,3,1880,2
455.0,4,3170,2
680.0,4,2720,2
380.0,2,1210,1
675.0,3,1510,2
765.0,5,3580,2
427.0,3,3192,2
640.0,3,1620,1
840.0,4,2360,1
595.0,3,2660,2
264.0,3,1552,2
422.25,2,1280,2
425.0,3,1970,1
315.0,6,2940,1
457.0,3,2050,2
864.5,4,3520,2
619.0,3,2720,2
549.0,5,3440,1
330.0,2,880,1
685.0,4,2510,2
325.0,4,1770,2
337.0,4,3200,2
640.0,4,3420,2
292.5,4,1610,2
527.5,3,2310,1
749.95,3,2010,2
680.0,4,2510,2
459.995,4,2350,2
802.0,4,2130,2
423.0,4,2660,2
915.557,5,3740,2
520.0,4,2190,2
550.0,4,1720,1
340.0,3,1740,1
2983.0,5,7400,2
309.95,2,1460,2
379.9,4,3181,2
715.0,4,2450,1
306.0,3,1250,1
368.0,3,1560,1
280.5,3,1670,1
585.0,3,2170,1
735.0,6,3360,1
399.95,4,3200,2
669.888,4,2550,2
639.0,4,2150,2
343.5,3,1900,2
350.0,3,1410,2
230.0,4,1050,1
1150.0,3,3830,2
209.95,3,2290,1
284.85,3,1590,1
812.0,3,3240,2
275.0,1,1170,1
